Time (s),Manipulability,Joint Velocities
2.2182469367980957,1.2400166881232013,"[0.6924184359607186, 0.3194620128599613, 0.04228751289402859, 0.012010291869386177, -0.43058506278282505, 0.43101690058494674, -0.16296259620109993, -0.4385357355833962, -0.2602453656313754, 0.5169685906431972]"
2.2754287719726562,1.2502118598250802,"[0.7036416611154963, 0.3095045892499075, 0.0679727403496063, 0.019424534627876393, -0.4339928157349916, 0.43434375708391787, -0.1631355197770804, -0.42642424855283617, -0.2941506651711509, 0.5209995467960468]"
2.308821439743042,1.260853948483517,"[0.7161277117792765, 0.298648558231421, 0.09638270950864487, 0.027743112011747013, -0.4374839202442293, 0.43778131867776077, -0.16335496437554473, -0.41356050562991226, -0.3316392314609026, 0.5251498258764677]"
2.32639479637146,1.271937211469563,"[0.7300481277530149, 0.2867745024141018, 0.12789645526454602, 0.03710035973237669, -0.4410655309723547, 0.44133060845402167, -0.16361496102067677, -0.39982605981733216, -0.37322457099509415, 0.5294227611012386]"
2.3724427223205566,1.2834525586420706,"[0.7455987259555817, 0.2737527392164601, 0.1629345194059416, 0.04764767178788239, -0.4447432601535237, 0.44499263728996985, -0.16391086832849974, -0.3850870247534022, -0.4194773760502174, 0.5338211699311193]"
2.3876266479492188,1.295386165713231,"[0.7629978430598022, 0.2594491825229798, 0.20194538839677154, 0.05955096400269202, -0.4485178692491429, 0.44876961176878044, -0.16424302491006884, -0.36919585267539734, -0.4710090657559927, 0.5383454461133929]"
2.4152472019195557,1.3077173846320167,"[0.7824889565631509, 0.24372537915367157, 0.24540776523757843, 0.07299170815483454, -0.4523875866027585, 0.4526639877146449, -0.16461374432196185, -0.3519882169628997, -0.5284765301299633, 0.542994055604325]"
2.4461755752563477,1.3204161794299323,"[0.7921595045346425, 0.23844874764001425, 0.26048169309310265, 0.07811575724123852, -0.44353512153984204, 0.45658205718236927, -0.1647589347341082, -0.34826731319806303, -0.5478987496061262, 0.547898037383825]"
2.482649326324463,1.3329392230003614,"[0.7962392913173907, 0.23816659050095296, 0.26356520380468357, 0.07973787732278255, -0.4227006600750032, 0.46029728101403145, -0.16504998782679678, -0.3528494023150552, -0.5526823067365473, 0.5524399891489422]"
2.518270969390869,1.3449948551078887,"[0.8002709382318882, 0.23818466635883628, 0.266033069861645, 0.0812480616240586, -0.4012446779261781, 0.46448122560217275, -0.16552972860742182, -0.35780027899465805, -0.5577016812249823, 0.5575707424060913]"
2.5506386756896973,1.356548600967307,"[0.8040931145651692, 0.2384612402860613, 0.2678825783323662, 0.08257824329600917, -0.3790836387531329, 0.46884161942382035, -0.16598276956385594, -0.3628327584454251, -0.5629255233372072, 0.5627973621883502]"
2.5839149951934814,1.3675654395261856,"[0.8077111547249168, 0.23900778831438477, 0.26908869246271383, 0.08374665154659912, -0.356191844012227, 0.47335062235744174, -0.16644998312002568, -0.36801670678473947, -0.5683336234867182, 0.5682112557441868]"
2.5969343185424805,1.3780112876410673,"[0.811130884961492, 0.23982014029890839, 0.26963006327926387, 0.0847418722442787, -0.3326013879462434, 0.47802077370540696, -0.16694583450686404, -0.3733105966279286, -0.573935182266775, 0.5738158222021935]"
2.656195878982544,1.3878538222689674,"[0.8143413547227997, 0.2408987769325664, 0.26948046653511354, 0.08554973665205023, -0.30833008652611904, 0.4828510176565632, -0.1674732357986086, -0.3786905716540807, -0.5797296370113186, 0.5796118980852191]"
2.681243419647217,1.3970621858911907,"[0.8205309112162373, 0.2418542112458295, 0.2670416620740536, 0.08565334726740492, -0.29875023403626516, 0.4879590976299823, -0.16804498551511607, -0.3684801122676976, -0.5857725415164234, 0.5676181669098389]"
